,AS,1. What is your gender?,2. How old were you at your last birthday?,36a. I have unrealistic time pressures,20a. My supervisor provides me with regular and constructive feedback,"18f. I am fairly remunerated (e.g. salary, superannuation) for the work that I do","18g. I am satisfied with my non-monetary employment conditions (e.g. leave, flexible work arrangements, other benefits)"
4033,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
4034,"Medium (251 to 1,000 employees)",Male,40 to 54 years,4.0,2.0,5.0,5.0
4035,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,3.0,4.0,4.0
4036,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,4.0,4.0,5.0
4037,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,5.0,4.0,4.0
4038,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,4.0,5.0,5.0
4039,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,3.0,3.0
4040,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
4041,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
4042,"Medium (251 to 1,000 employees)",Male,55 years or older,4.0,4.0,3.0,4.0
4043,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,3.0,1.0,1.0
4044,"Medium (251 to 1,000 employees)",Male,55 years or older,3.0,4.0,4.0,4.0
4045,"Medium (251 to 1,000 employees)",Female,55 years or older,3.0,1.0,3.0,1.0
4046,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,4.0,2.0,4.0
4047,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,4.0,3.0,5.0
4048,"Medium (251 to 1,000 employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
4049,"Medium (251 to 1,000 employees)",Male,40 to 54 years,2.0,4.0,5.0,4.0
4050,"Medium (251 to 1,000 employees)",Male,Under 40 years,4.0,3.0,4.0,4.0
4051,"Medium (251 to 1,000 employees)",Male,40 to 54 years,2.0,3.0,3.0,4.0
4052,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
4053,"Medium (251 to 1,000 employees)",Male,55 years or older,4.0,3.0,5.0,4.0
4054,"Medium (251 to 1,000 employees)",Male,Under 40 years,4.0,2.0,4.0,5.0
4055,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,1.0,4.0,4.0
4056,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,5.0,5.0,5.0
4057,"Medium (251 to 1,000 employees)",Female,40 to 54 years,2.0,3.0,2.0,4.0
4058,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,4.0,5.0,5.0
4059,"Medium (251 to 1,000 employees)",Male,40 to 54 years,2.0,3.0,4.0,4.0
4060,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,4.0,5.0
4061,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,3.0,1.0,4.0
4062,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,3.0,4.0
4063,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,4.0,4.0,4.0
4064,"Medium (251 to 1,000 employees)",Male,Under 40 years,4.0,4.0,2.0,2.0
4065,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
4066,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
4067,"Medium (251 to 1,000 employees)",Female,55 years or older,3.0,3.0,4.0,4.0
4068,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,3.0,5.0,4.0
4069,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
4070,"Medium (251 to 1,000 employees)",Male,Under 40 years,4.0,2.0,4.0,4.0
4071,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
4072,"Medium (251 to 1,000 employees)",Female,40 to 54 years,2.0,4.0,2.0,2.0
4073,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,3.0,4.0,4.0
4074,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,5.0,2.0,2.0
4075,"Medium (251 to 1,000 employees)",Male,40 to 54 years,4.0,4.0,5.0,5.0
4076,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,2.0,2.0,4.0
4077,"Medium (251 to 1,000 employees)",Male,55 years or older,3.0,4.0,4.0,4.0
4078,"Medium (251 to 1,000 employees)",Female,40 to 54 years,2.0,5.0,2.0,3.0
4079,"Medium (251 to 1,000 employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
4080,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,4.0,4.0,4.0
4081,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,5.0,5.0
4082,"Medium (251 to 1,000 employees)",Male,Under 40 years,4.0,4.0,4.0,5.0
4083,"Medium (251 to 1,000 employees)",Male,Under 40 years,4.0,5.0,2.0,5.0
4084,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,2.0,4.0,4.0
4085,"Medium (251 to 1,000 employees)",Male,55 years or older,2.0,3.0,2.0,1.0
4086,"Medium (251 to 1,000 employees)",Male,Under 40 years,4.0,3.0,4.0,4.0
4087,"Medium (251 to 1,000 employees)",Male,55 years or older,2.0,3.0,2.0,2.0
4088,"Medium (251 to 1,000 employees)",Male,Under 40 years,2.0,1.0,2.0,4.0
4089,"Medium (251 to 1,000 employees)",Male,40 to 54 years,2.0,4.0,4.0,2.0
4090,"Medium (251 to 1,000 employees)",Male,40 to 54 years,2.0,4.0,5.0,5.0
4091,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,3.0,4.0,4.0
4092,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,5.0,4.0,5.0
4093,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,3.0,2.0,4.0
4094,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,3.0,4.0,4.0
4095,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,3.0,4.0,4.0
4096,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,4.0,4.0,4.0
4097,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
4098,"Medium (251 to 1,000 employees)",Male,Under 40 years,2.0,5.0,4.0,5.0
4099,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
4100,"Medium (251 to 1,000 employees)",Male,55 years or older,3.0,4.0,4.0,4.0
4101,"Medium (251 to 1,000 employees)",Female,40 to 54 years,2.0,3.0,4.0,1.0
4102,"Medium (251 to 1,000 employees)",Female,55 years or older,3.0,3.0,3.0,4.0
4103,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
4104,"Medium (251 to 1,000 employees)",Male,40 to 54 years,2.0,5.0,4.0,4.0
4105,"Medium (251 to 1,000 employees)",Female,Under 40 years,2.0,4.0,5.0,4.0
4106,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,5.0,5.0,5.0
4107,"Medium (251 to 1,000 employees)",Male,55 years or older,3.0,4.0,4.0,4.0
4108,"Medium (251 to 1,000 employees)",Male,55 years or older,3.0,4.0,4.0,4.0
4109,"Medium (251 to 1,000 employees)",Male,Under 40 years,2.0,4.0,4.0,5.0
4110,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,5.0,3.0,3.0
4111,"Medium (251 to 1,000 employees)",Male,Under 40 years,1.0,4.0,2.0,3.0
4112,"Medium (251 to 1,000 employees)",Female,55 years or older,4.0,4.0,4.0,5.0
4113,"Medium (251 to 1,000 employees)",Male,Under 40 years,1.0,1.0,4.0,3.0
4114,"Medium (251 to 1,000 employees)",Male,55 years or older,2.0,5.0,2.0,3.0
4115,"Medium (251 to 1,000 employees)",Female,Under 40 years,2.0,3.0,3.0,5.0
4116,"Medium (251 to 1,000 employees)",Female,55 years or older,4.0,3.0,4.0,4.0
4117,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,5.0,4.0,5.0
4118,"Medium (251 to 1,000 employees)",Female,55 years or older,4.0,3.0,5.0,5.0
4119,"Medium (251 to 1,000 employees)",Male,Under 40 years,2.0,4.0,4.0,4.0
4120,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,3.0,3.0,4.0
4121,"Medium (251 to 1,000 employees)",Female,55 years or older,4.0,4.0,4.0,4.0
4122,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,4.0,2.0,4.0
4123,"Medium (251 to 1,000 employees)",Male,55 years or older,3.0,3.0,3.0,4.0
4124,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,4.0,3.0,2.0
4125,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
4126,"Medium (251 to 1,000 employees)",Female,55 years or older,2.0,4.0,3.0,3.0
4127,"Medium (251 to 1,000 employees)",Female,Under 40 years,2.0,4.0,4.0,5.0
4128,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,3.0,4.0,3.0
4129,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,4.0,4.0,4.0
4130,"Medium (251 to 1,000 employees)",Male,Under 40 years,1.0,4.0,4.0,4.0
4131,"Medium (251 to 1,000 employees)",Male,Under 40 years,2.0,5.0,4.0,5.0
4132,"Medium (251 to 1,000 employees)",Male,55 years or older,3.0,4.0,3.0,4.0
4133,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,4.0,4.0,4.0
4134,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,4.0,3.0,5.0
4135,"Medium (251 to 1,000 employees)",Male,Under 40 years,2.0,1.0,4.0,4.0
4136,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,4.0,4.0,5.0
4137,"Medium (251 to 1,000 employees)",Male,Under 40 years,2.0,3.0,2.0,2.0
4138,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,4.0,1.0,3.0
4139,"Medium (251 to 1,000 employees)",Female,Under 40 years,2.0,5.0,5.0,4.0
4140,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,3.0,1.0
4141,"Medium (251 to 1,000 employees)",Male,40 to 54 years,1.0,3.0,2.0,3.0
4142,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,4.0,4.0,4.0
4143,"Medium (251 to 1,000 employees)",Female,Under 40 years,5.0,4.0,4.0,4.0
4144,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,4.0,4.0,5.0
4145,"Medium (251 to 1,000 employees)",Female,Under 40 years,2.0,3.0,3.0,3.0
4146,"Medium (251 to 1,000 employees)",Female,55 years or older,3.0,4.0,4.0,5.0
4147,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,3.0,4.0,4.0
4148,"Medium (251 to 1,000 employees)",Female,40 to 54 years,2.0,5.0,4.0,5.0
4149,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,3.0,5.0,4.0
4150,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,2.0,5.0,4.0
4151,"Medium (251 to 1,000 employees)",Female,40 to 54 years,2.0,3.0,2.0,4.0
4152,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,4.0,4.0,3.0
4153,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,5.0,4.0,5.0
4154,"Medium (251 to 1,000 employees)",Male,55 years or older,2.0,5.0,4.0,4.0
4155,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,4.0,5.0,5.0
4156,"Medium (251 to 1,000 employees)",Female,55 years or older,3.0,4.0,4.0,4.0
4157,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
4158,"Medium (251 to 1,000 employees)",Female,55 years or older,4.0,2.0,5.0,5.0
4159,"Medium (251 to 1,000 employees)",Male,Under 40 years,4.0,3.0,4.0,4.0
4160,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
4161,"Medium (251 to 1,000 employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
4162,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,3.0,3.0,5.0
4163,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
4164,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,3.0,1.0,3.0
4165,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,3.0,2.0,3.0
4166,"Medium (251 to 1,000 employees)",Female,Under 40 years,2.0,4.0,4.0,4.0
4167,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,3.0,4.0,5.0
4168,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,2.0,5.0,4.0
4169,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,4.0,4.0,5.0
4170,"Medium (251 to 1,000 employees)",Female,Under 40 years,2.0,3.0,4.0,3.0
4171,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
4172,"Medium (251 to 1,000 employees)",Male,Under 40 years,4.0,4.0,4.0,5.0
4173,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,4.0,4.0,5.0
4174,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,4.0,4.0,5.0
4175,"Medium (251 to 1,000 employees)",Male,55 years or older,1.0,4.0,2.0,4.0
4176,"Medium (251 to 1,000 employees)",Male,40 to 54 years,4.0,3.0,4.0,5.0
4177,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,4.0,4.0,3.0
4178,"Medium (251 to 1,000 employees)",Female,Under 40 years,2.0,5.0,4.0,5.0
4179,"Medium (251 to 1,000 employees)",Male,Under 40 years,4.0,4.0,4.0,5.0
4180,"Medium (251 to 1,000 employees)",Male,40 to 54 years,4.0,2.0,5.0,5.0
4181,"Medium (251 to 1,000 employees)",Female,Under 40 years,2.0,3.0,1.0,4.0
4182,"Medium (251 to 1,000 employees)",Male,40 to 54 years,4.0,3.0,4.0,5.0
4183,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,3.0,4.0
4184,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,1.0,4.0
4185,"Medium (251 to 1,000 employees)",Male,40 to 54 years,4.0,3.0,4.0,4.0
4186,"Medium (251 to 1,000 employees)",Female,Under 40 years,2.0,5.0,5.0,5.0
4187,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
4188,"Medium (251 to 1,000 employees)",Female,55 years or older,3.0,4.0,5.0,5.0
4189,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,5.0,4.0,4.0
4190,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
4191,"Medium (251 to 1,000 employees)",Male,55 years or older,2.0,4.0,4.0,5.0
4192,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,4.0,5.0,5.0
4193,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,3.0,4.0,1.0
4194,"Medium (251 to 1,000 employees)",Female,Under 40 years,5.0,5.0,4.0,4.0
4195,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,4.0,4.0,4.0
4196,"Medium (251 to 1,000 employees)",Female,55 years or older,3.0,5.0,5.0,5.0
4197,"Medium (251 to 1,000 employees)",Male,Under 40 years,2.0,5.0,3.0,4.0
4198,"Medium (251 to 1,000 employees)",Male,55 years or older,5.0,4.0,4.0,4.0
4199,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,4.0,5.0,5.0
4200,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,4.0,2.0
4201,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
4202,"Medium (251 to 1,000 employees)",Female,Under 40 years,1.0,3.0,2.0,4.0
4203,"Medium (251 to 1,000 employees)",Male,40 to 54 years,4.0,5.0,5.0,5.0
4204,"Medium (251 to 1,000 employees)",Female,55 years or older,4.0,4.0,4.0,5.0
4205,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,5.0,5.0,5.0
4206,"Medium (251 to 1,000 employees)",Female,40 to 54 years,5.0,4.0,2.0,4.0
4207,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,3.0,4.0,4.0
4208,"Medium (251 to 1,000 employees)",Male,Under 40 years,4.0,3.0,4.0,4.0
4209,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,4.0,2.0,4.0
4210,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,4.0,5.0,5.0
4211,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,4.0,3.0,4.0
4212,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,3.0,2.0,3.0
4213,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,3.0
4214,"Medium (251 to 1,000 employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
4215,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
4216,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,4.0,4.0,4.0
4217,"Medium (251 to 1,000 employees)",Female,Under 40 years,1.0,5.0,5.0,5.0
4218,"Medium (251 to 1,000 employees)",Male,55 years or older,2.0,4.0,4.0,4.0
4219,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
4220,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,2.0,4.0,4.0
4221,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,5.0,5.0,5.0
4222,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,2.0,3.0,4.0
4223,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,3.0,1.0,2.0
4224,"Medium (251 to 1,000 employees)",Male,Under 40 years,2.0,3.0,4.0,4.0
4225,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,2.0,4.0,3.0
4226,"Medium (251 to 1,000 employees)",Male,40 to 54 years,1.0,5.0,4.0,3.0
4227,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,5.0,4.0
4228,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,4.0,4.0,5.0
4229,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,3.0,3.0,4.0
4230,"Medium (251 to 1,000 employees)",Male,40 to 54 years,4.0,5.0,5.0,4.0
4231,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
4232,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,3.0,3.0,3.0
4233,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
4234,"Medium (251 to 1,000 employees)",Male,Under 40 years,5.0,4.0,3.0,4.0
4235,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
4236,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,4.0,3.0
4237,"Medium (251 to 1,000 employees)",Female,40 to 54 years,5.0,5.0,4.0,4.0
4238,"Medium (251 to 1,000 employees)",Female,Under 40 years,2.0,5.0,4.0,4.0
4239,"Medium (251 to 1,000 employees)",Male,55 years or older,3.0,4.0,4.0,4.0
4240,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,3.0,4.0,4.0
4241,"Medium (251 to 1,000 employees)",Female,55 years or older,1.0,5.0,4.0,4.0
4242,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,2.0,3.0,4.0
4243,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
4244,"Medium (251 to 1,000 employees)",Female,Under 40 years,2.0,4.0,4.0,4.0
4245,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,5.0,4.0,4.0
4246,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,3.0,4.0,4.0
4247,"Medium (251 to 1,000 employees)",Male,55 years or older,4.0,4.0,4.0,4.0
4248,"Medium (251 to 1,000 employees)",Male,Under 40 years,4.0,5.0,4.0,4.0
4249,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
4250,"Medium (251 to 1,000 employees)",Female,55 years or older,3.0,4.0,2.0,4.0
4251,"Medium (251 to 1,000 employees)",Male,Under 40 years,4.0,4.0,5.0,5.0
4252,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,5.0,4.0,4.0
4253,"Medium (251 to 1,000 employees)",Female,Under 40 years,2.0,4.0,4.0,4.0
4254,"Medium (251 to 1,000 employees)",Male,Under 40 years,4.0,4.0,4.0,3.0
4255,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
4256,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
4257,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,4.0,4.0,5.0
4258,"Medium (251 to 1,000 employees)",Female,55 years or older,2.0,5.0,1.0,3.0
4259,"Medium (251 to 1,000 employees)",Male,Under 40 years,5.0,5.0,5.0,5.0
4260,"Medium (251 to 1,000 employees)",Male,40 to 54 years,4.0,4.0,5.0,4.0
4261,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,2.0,3.0
4262,"Medium (251 to 1,000 employees)",Female,Under 40 years,1.0,1.0,4.0,2.0
4263,"Medium (251 to 1,000 employees)",Female,55 years or older,3.0,4.0,4.0,4.0
4264,"Medium (251 to 1,000 employees)",Female,40 to 54 years,2.0,3.0,4.0,4.0
4265,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,3.0,3.0
4266,"Medium (251 to 1,000 employees)",Male,55 years or older,1.0,2.0,1.0,2.0
4267,"Medium (251 to 1,000 employees)",Female,40 to 54 years,1.0,4.0,4.0,4.0
4268,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,3.0,3.0,3.0
4269,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,5.0,4.0,4.0
4270,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,4.0,5.0,5.0
4271,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,5.0,4.0,4.0
4272,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,4.0,5.0,5.0
4273,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,2.0,4.0,4.0
4274,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,3.0,2.0,4.0
4275,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,3.0,4.0
4276,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,4.0,4.0,4.0
4277,"Medium (251 to 1,000 employees)",Female,Under 40 years,5.0,2.0,4.0,4.0
4278,"Medium (251 to 1,000 employees)",Female,Under 40 years,2.0,5.0,5.0,5.0
4279,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,4.0,1.0,4.0
4280,"Medium (251 to 1,000 employees)",Male,Under 40 years,4.0,5.0,5.0,5.0
4281,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,5.0,3.0,3.0
4282,"Medium (251 to 1,000 employees)",Female,55 years or older,3.0,5.0,4.0,4.0
4283,"Medium (251 to 1,000 employees)",Male,Under 40 years,5.0,4.0,3.0,4.0
4284,"Medium (251 to 1,000 employees)",Male,Under 40 years,4.0,4.0,4.0,4.0
4285,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,4.0,5.0,5.0
4286,"Medium (251 to 1,000 employees)",Female,40 to 54 years,1.0,4.0,4.0,4.0
4287,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
4288,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,4.0,5.0,5.0
4289,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,4.0,4.0,3.0
4290,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,5.0,3.0,5.0
4291,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,4.0,3.0,5.0
4292,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
4293,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,5.0,4.0,4.0
4294,"Medium (251 to 1,000 employees)",Male,Under 40 years,2.0,2.0,2.0,4.0
4295,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,2.0,4.0,3.0
4296,"Medium (251 to 1,000 employees)",Female,55 years or older,3.0,2.0,5.0,5.0
4297,"Medium (251 to 1,000 employees)",Female,Under 40 years,2.0,5.0,4.0,4.0
4298,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
4299,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,4.0,2.0,4.0
4300,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
4301,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,3.0,4.0,4.0
4302,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,2.0,4.0,2.0
4303,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
4304,"Medium (251 to 1,000 employees)",Male,40 to 54 years,1.0,3.0,2.0,4.0
4305,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,3.0,3.0,3.0
4306,"Medium (251 to 1,000 employees)",Male,40 to 54 years,2.0,4.0,3.0,4.0
4307,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
4308,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,2.0,5.0
4309,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,5.0,4.0,4.0
4310,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,2.0,4.0,4.0
4311,"Medium (251 to 1,000 employees)",Male,55 years or older,3.0,3.0,4.0,4.0
4312,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
4313,"Medium (251 to 1,000 employees)",Male,40 to 54 years,4.0,5.0,4.0,4.0
4314,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,3.0,3.0,3.0
4315,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,5.0,5.0,4.0
4316,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,5.0,2.0,2.0
4317,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
4318,"Medium (251 to 1,000 employees)",Female,55 years or older,3.0,3.0,4.0,4.0
4319,"Medium (251 to 1,000 employees)",Male,Under 40 years,2.0,4.0,1.0,3.0
4320,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
4321,"Medium (251 to 1,000 employees)",Female,Under 40 years,2.0,5.0,5.0,5.0
4322,"Medium (251 to 1,000 employees)",Female,Under 40 years,2.0,5.0,5.0,5.0
4323,"Medium (251 to 1,000 employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
4324,"Medium (251 to 1,000 employees)",Female,Under 40 years,4.0,3.0,4.0,4.0
4325,"Medium (251 to 1,000 employees)",Male,55 years or older,4.0,3.0,4.0,4.0
4326,"Medium (251 to 1,000 employees)",Female,Under 40 years,5.0,2.0,4.0,4.0
4327,"Medium (251 to 1,000 employees)",Female,Under 40 years,2.0,4.0,3.0,3.0
4328,"Medium (251 to 1,000 employees)",Male,55 years or older,4.0,4.0,3.0,5.0
4329,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
4330,"Medium (251 to 1,000 employees)",Female,55 years or older,3.0,4.0,4.0,2.0
4331,"Medium (251 to 1,000 employees)",Male,Under 40 years,3.0,5.0,4.0,4.0
