,AS,1. What is your gender?,2. How old were you at your last birthday?,36a. I have unrealistic time pressures,20a. My supervisor provides me with regular and constructive feedback,"18f. I am fairly remunerated (e.g. salary, superannuation) for the work that I do","18g. I am satisfied with my non-monetary employment conditions (e.g. leave, flexible work arrangements, other benefits)"
13033,"Large (1,001 or more employees)",Male,55 years or older,2.0,4.0,2.0,2.0
13034,"Medium (251 to 1,000 employees)",Male,55 years or older,4.0,4.0,4.0,5.0
13035,"Large (1,001 or more employees)",Male,55 years or older,2.0,5.0,3.0,3.0
13036,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,4.0
13037,"Large (1,001 or more employees)",Female,55 years or older,2.0,2.0,2.0,3.0
13038,"Large (1,001 or more employees)",Male,55 years or older,4.0,5.0,2.0,5.0
13039,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,3.0,3.0
13040,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,5.0,5.0
13041,"Large (1,001 or more employees)",Female,55 years or older,3.0,3.0,4.0,2.0
13042,"Large (1,001 or more employees)",Male,55 years or older,4.0,3.0,3.0,3.0
13043,"Large (1,001 or more employees)",Female,55 years or older,5.0,4.0,4.0,4.0
13044,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,2.0,4.0
13045,"Large (1,001 or more employees)",Male,55 years or older,3.0,3.0,3.0,4.0
13046,"Medium (251 to 1,000 employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13047,"Large (1,001 or more employees)",Male,55 years or older,3.0,3.0,4.0,4.0
13048,"Large (1,001 or more employees)",Female,55 years or older,2.0,3.0,4.0,4.0
13049,"Large (1,001 or more employees)",Female,55 years or older,2.0,5.0,5.0,4.0
13050,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,3.0,4.0
13051,"Medium (251 to 1,000 employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13052,"Medium (251 to 1,000 employees)",Female,55 years or older,4.0,5.0,4.0,4.0
13053,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13054,"Large (1,001 or more employees)",Female,55 years or older,4.0,3.0,4.0,3.0
13055,"Large (1,001 or more employees)",Male,55 years or older,4.0,5.0,3.0,4.0
13056,"Large (1,001 or more employees)",Female,55 years or older,3.0,3.0,3.0,4.0
13057,"Medium (251 to 1,000 employees)",Female,55 years or older,4.0,5.0,4.0,5.0
13058,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,2.0,4.0
13059,Small (Less than 250 employees),Male,55 years or older,3.0,5.0,4.0,4.0
13060,"Large (1,001 or more employees)",Male,55 years or older,2.0,4.0,4.0,2.0
13061,"Large (1,001 or more employees)",Female,55 years or older,4.0,5.0,5.0,5.0
13062,"Large (1,001 or more employees)",Female,55 years or older,2.0,5.0,4.0,4.0
13063,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13064,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,4.0
13065,"Large (1,001 or more employees)",Male,55 years or older,3.0,5.0,3.0,5.0
13066,"Medium (251 to 1,000 employees)",Male,55 years or older,3.0,3.0,4.0,4.0
13067,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13068,"Large (1,001 or more employees)",Male,55 years or older,1.0,3.0,4.0,2.0
13069,"Large (1,001 or more employees)",Female,55 years or older,3.0,5.0,3.0,4.0
13070,"Large (1,001 or more employees)",Female,55 years or older,5.0,4.0,4.0,4.0
13071,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,1.0,3.0
13072,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,5.0,5.0
13073,"Large (1,001 or more employees)",Male,55 years or older,3.0,3.0,2.0,3.0
13074,"Large (1,001 or more employees)",Female,55 years or older,2.0,4.0,3.0,4.0
13075,"Large (1,001 or more employees)",Female,55 years or older,4.0,2.0,4.0,5.0
13076,"Medium (251 to 1,000 employees)",Male,55 years or older,3.0,4.0,2.0,4.0
13077,"Large (1,001 or more employees)",Male,55 years or older,2.0,2.0,2.0,1.0
13078,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,4.0
13079,"Large (1,001 or more employees)",Female,55 years or older,1.0,5.0,3.0,4.0
13080,"Large (1,001 or more employees)",Female,55 years or older,4.0,5.0,5.0,5.0
13081,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
13082,"Large (1,001 or more employees)",Male,55 years or older,2.0,5.0,4.0,5.0
13083,"Large (1,001 or more employees)",Female,55 years or older,3.0,5.0,5.0,5.0
13084,"Large (1,001 or more employees)",Male,55 years or older,2.0,5.0,5.0,5.0
13085,"Large (1,001 or more employees)",Male,55 years or older,2.0,4.0,2.0,4.0
13086,"Medium (251 to 1,000 employees)",Female,55 years or older,3.0,4.0,4.0,4.0
13087,"Large (1,001 or more employees)",Male,55 years or older,3.0,5.0,5.0,5.0
13088,"Large (1,001 or more employees)",Female,55 years or older,3.0,5.0,4.0,5.0
13089,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
13090,"Large (1,001 or more employees)",Male,55 years or older,1.0,4.0,4.0,4.0
13091,"Large (1,001 or more employees)",Female,55 years or older,3.0,5.0,5.0,5.0
13092,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
13093,"Large (1,001 or more employees)",Male,55 years or older,5.0,2.0,4.0,4.0
13094,Small (Less than 250 employees),Female,55 years or older,3.0,4.0,2.0,5.0
13095,"Large (1,001 or more employees)",Male,55 years or older,4.0,3.0,3.0,4.0
13096,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,5.0
13097,"Large (1,001 or more employees)",Male,55 years or older,2.0,4.0,3.0,2.0
13098,"Medium (251 to 1,000 employees)",Female,55 years or older,3.0,2.0,1.0,4.0
13099,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,5.0,4.0
13100,"Large (1,001 or more employees)",Male,55 years or older,2.0,3.0,3.0,4.0
13101,"Large (1,001 or more employees)",Female,55 years or older,3.0,3.0,2.0,2.0
13102,"Large (1,001 or more employees)",Female,55 years or older,3.0,2.0,4.0,4.0
13103,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,4.0
13104,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,3.0,4.0
13105,"Medium (251 to 1,000 employees)",Male,55 years or older,4.0,4.0,4.0,4.0
13106,"Large (1,001 or more employees)",Male,55 years or older,4.0,5.0,5.0,5.0
13107,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13108,"Large (1,001 or more employees)",Male,55 years or older,4.0,3.0,2.0,4.0
13109,"Large (1,001 or more employees)",Male,55 years or older,3.0,3.0,3.0,4.0
13110,"Large (1,001 or more employees)",Female,55 years or older,5.0,5.0,4.0,4.0
13111,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,3.0,4.0
13112,"Large (1,001 or more employees)",Male,55 years or older,3.0,5.0,3.0,5.0
13113,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,4.0,4.0
13114,"Medium (251 to 1,000 employees)",Male,55 years or older,4.0,5.0,5.0,5.0
13115,"Large (1,001 or more employees)",Female,55 years or older,3.0,5.0,4.0,4.0
13116,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,2.0,5.0
13117,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,2.0,4.0
13118,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,3.0,4.0
13119,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,2.0,4.0
13120,"Large (1,001 or more employees)",Male,55 years or older,2.0,5.0,4.0,5.0
13121,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,2.0,5.0
13122,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,2.0,2.0
13123,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,5.0,5.0
13124,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,5.0
13125,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13126,"Medium (251 to 1,000 employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13127,"Large (1,001 or more employees)",Female,55 years or older,4.0,5.0,5.0,5.0
13128,"Large (1,001 or more employees)",Male,55 years or older,5.0,1.0,3.0,4.0
13129,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,4.0,4.0
13130,"Large (1,001 or more employees)",Female,55 years or older,4.0,5.0,5.0,5.0
13131,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,3.0,5.0
13132,"Medium (251 to 1,000 employees)",Female,55 years or older,2.0,3.0,4.0,5.0
13133,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,3.0,3.0
13134,"Large (1,001 or more employees)",Male,55 years or older,2.0,2.0,2.0,3.0
13135,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,3.0,4.0
13136,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
13137,"Large (1,001 or more employees)",Male,55 years or older,3.0,5.0,3.0,4.0
13138,"Large (1,001 or more employees)",Male,55 years or older,1.0,1.0,2.0,4.0
13139,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13140,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,3.0,3.0
13141,"Large (1,001 or more employees)",Male,55 years or older,4.0,3.0,4.0,4.0
13142,"Large (1,001 or more employees)",Male,55 years or older,2.0,4.0,3.0,4.0
13143,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,3.0,4.0
13144,"Large (1,001 or more employees)",Female,55 years or older,2.0,4.0,4.0,4.0
13145,"Large (1,001 or more employees)",Male,55 years or older,2.0,3.0,2.0,4.0
13146,"Medium (251 to 1,000 employees)",Female,55 years or older,5.0,4.0,4.0,4.0
13147,"Large (1,001 or more employees)",Male,55 years or older,4.0,5.0,5.0,5.0
13148,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13149,"Medium (251 to 1,000 employees)",Male,55 years or older,4.0,4.0,2.0,4.0
13150,"Large (1,001 or more employees)",Female,55 years or older,2.0,5.0,4.0,2.0
13151,"Large (1,001 or more employees)",Male,55 years or older,3.0,3.0,4.0,5.0
13152,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,3.0,3.0
13153,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13154,"Large (1,001 or more employees)",Female,55 years or older,2.0,4.0,4.0,4.0
13155,"Large (1,001 or more employees)",Male,55 years or older,3.0,3.0,2.0,3.0
13156,"Large (1,001 or more employees)",Male,55 years or older,4.0,3.0,3.0,4.0
13157,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,3.0,4.0
13158,"Large (1,001 or more employees)",Male,55 years or older,4.0,5.0,4.0,4.0
13159,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,4.0
13160,"Large (1,001 or more employees)",Male,55 years or older,4.0,1.0,1.0,2.0
13161,"Large (1,001 or more employees)",Female,55 years or older,4.0,2.0,4.0,4.0
13162,Small (Less than 250 employees),Male,55 years or older,3.0,3.0,2.0,4.0
13163,"Large (1,001 or more employees)",Male,55 years or older,2.0,5.0,4.0,4.0
13164,"Large (1,001 or more employees)",Male,55 years or older,3.0,3.0,3.0,4.0
13165,"Large (1,001 or more employees)",Male,55 years or older,2.0,2.0,2.0,5.0
13166,"Large (1,001 or more employees)",Male,55 years or older,4.0,2.0,3.0,4.0
13167,"Large (1,001 or more employees)",Female,55 years or older,3.0,2.0,4.0,5.0
13168,"Large (1,001 or more employees)",Female,55 years or older,3.0,2.0,4.0,1.0
13169,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,2.0,4.0
13170,Small (Less than 250 employees),Male,55 years or older,2.0,4.0,4.0,4.0
13171,"Large (1,001 or more employees)",Male,55 years or older,3.0,5.0,4.0,4.0
13172,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,1.0,5.0
13173,"Large (1,001 or more employees)",Female,55 years or older,2.0,4.0,3.0,4.0
13174,"Medium (251 to 1,000 employees)",Male,55 years or older,4.0,4.0,4.0,4.0
13175,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,5.0,5.0
13176,"Large (1,001 or more employees)",Female,55 years or older,3.0,5.0,3.0,4.0
13177,"Medium (251 to 1,000 employees)",Male,55 years or older,3.0,5.0,3.0,3.0
13178,"Large (1,001 or more employees)",Male,55 years or older,3.0,1.0,3.0,3.0
13179,"Large (1,001 or more employees)",Male,55 years or older,2.0,4.0,2.0,4.0
13180,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13181,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
13182,"Large (1,001 or more employees)",Male,55 years or older,2.0,3.0,2.0,3.0
13183,"Large (1,001 or more employees)",Male,55 years or older,3.0,2.0,4.0,4.0
13184,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,4.0
13185,"Large (1,001 or more employees)",Female,55 years or older,3.0,3.0,4.0,4.0
13186,"Medium (251 to 1,000 employees)",Male,55 years or older,3.0,5.0,5.0,5.0
13187,"Large (1,001 or more employees)",Male,55 years or older,3.0,3.0,4.0,4.0
13188,"Large (1,001 or more employees)",Female,55 years or older,2.0,4.0,5.0,5.0
13189,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,4.0,3.0
13190,"Large (1,001 or more employees)",Male,55 years or older,4.0,2.0,4.0,4.0
13191,"Large (1,001 or more employees)",Male,55 years or older,4.0,3.0,4.0,4.0
13192,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,2.0,4.0
13193,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,2.0,4.0
13194,"Large (1,001 or more employees)",Female,55 years or older,4.0,3.0,4.0,5.0
13195,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
13196,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13197,"Large (1,001 or more employees)",Female,55 years or older,2.0,3.0,5.0,5.0
13198,"Large (1,001 or more employees)",Female,55 years or older,1.0,1.0,4.0,4.0
13199,"Large (1,001 or more employees)",Female,55 years or older,3.0,3.0,3.0,2.0
13200,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,4.0,5.0
13201,"Large (1,001 or more employees)",Male,55 years or older,4.0,2.0,4.0,2.0
13202,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,5.0,5.0
13203,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,3.0,4.0
13204,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,5.0,5.0
13205,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,5.0,5.0
13206,"Large (1,001 or more employees)",Male,55 years or older,3.0,3.0,4.0,3.0
13207,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,5.0,4.0
13208,"Large (1,001 or more employees)",Male,55 years or older,3.0,2.0,2.0,2.0
13209,"Large (1,001 or more employees)",Female,55 years or older,3.0,3.0,2.0,4.0
13210,"Large (1,001 or more employees)",Male,55 years or older,2.0,4.0,2.0,4.0
13211,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13212,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13213,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,4.0
13214,"Large (1,001 or more employees)",Male,55 years or older,2.0,2.0,2.0,2.0
13215,"Large (1,001 or more employees)",Female,55 years or older,2.0,3.0,3.0,4.0
13216,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13217,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13218,Small (Less than 250 employees),Female,55 years or older,4.0,4.0,4.0,4.0
13219,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,5.0
13220,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,3.0,4.0
13221,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,5.0,5.0
13222,"Large (1,001 or more employees)",Female,55 years or older,2.0,4.0,4.0,4.0
13223,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,3.0,4.0
13224,"Large (1,001 or more employees)",Female,55 years or older,2.0,2.0,2.0,1.0
13225,Small (Less than 250 employees),Female,55 years or older,2.0,4.0,4.0,4.0
13226,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,5.0
13227,"Medium (251 to 1,000 employees)",Male,55 years or older,4.0,5.0,4.0,4.0
13228,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,3.0
13229,"Large (1,001 or more employees)",Male,55 years or older,3.0,5.0,4.0,4.0
13230,"Large (1,001 or more employees)",Male,55 years or older,5.0,5.0,3.0,3.0
13231,"Large (1,001 or more employees)",Female,55 years or older,3.0,3.0,3.0,3.0
13232,"Medium (251 to 1,000 employees)",Female,55 years or older,2.0,5.0,3.0,2.0
13233,"Large (1,001 or more employees)",Female,55 years or older,4.0,2.0,1.0,2.0
13234,"Medium (251 to 1,000 employees)",Female,55 years or older,3.0,4.0,2.0,5.0
13235,"Large (1,001 or more employees)",Male,55 years or older,2.0,4.0,3.0,4.0
13236,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
13237,Small (Less than 250 employees),Female,55 years or older,3.0,4.0,5.0,5.0
13238,"Large (1,001 or more employees)",Female,55 years or older,5.0,3.0,5.0,5.0
13239,"Large (1,001 or more employees)",Male,55 years or older,3.0,3.0,3.0,2.0
13240,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,3.0,4.0
13241,"Large (1,001 or more employees)",Female,55 years or older,3.0,2.0,4.0,2.0
13242,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,1.0,2.0
13243,"Large (1,001 or more employees)",Male,55 years or older,2.0,4.0,3.0,3.0
13244,"Large (1,001 or more employees)",Male,55 years or older,3.0,3.0,4.0,5.0
13245,"Large (1,001 or more employees)",Male,55 years or older,2.0,2.0,4.0,4.0
13246,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13247,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13248,"Large (1,001 or more employees)",Female,55 years or older,3.0,5.0,4.0,4.0
13249,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13250,"Large (1,001 or more employees)",Male,55 years or older,2.0,4.0,4.0,4.0
13251,"Large (1,001 or more employees)",Female,55 years or older,4.0,1.0,3.0,3.0
13252,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,4.0
13253,"Large (1,001 or more employees)",Female,55 years or older,2.0,4.0,4.0,4.0
13254,"Large (1,001 or more employees)",Male,55 years or older,4.0,2.0,3.0,4.0
13255,"Large (1,001 or more employees)",Male,55 years or older,3.0,5.0,5.0,5.0
13256,"Large (1,001 or more employees)",Male,55 years or older,2.0,3.0,4.0,2.0
13257,"Large (1,001 or more employees)",Female,55 years or older,3.0,2.0,4.0,4.0
13258,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,3.0,4.0
13259,"Medium (251 to 1,000 employees)",Male,55 years or older,4.0,3.0,1.0,3.0
13260,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,4.0
13261,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
13262,"Medium (251 to 1,000 employees)",Male,55 years or older,3.0,5.0,4.0,5.0
13263,"Large (1,001 or more employees)",Male,55 years or older,4.0,5.0,4.0,4.0
13264,"Large (1,001 or more employees)",Male,55 years or older,5.0,5.0,4.0,5.0
13265,"Medium (251 to 1,000 employees)",Female,55 years or older,4.0,5.0,5.0,5.0
13266,"Medium (251 to 1,000 employees)",Male,55 years or older,5.0,5.0,4.0,4.0
13267,"Large (1,001 or more employees)",Male,55 years or older,3.0,2.0,4.0,5.0
13268,"Large (1,001 or more employees)",Female,55 years or older,1.0,1.0,3.0,4.0
13269,"Large (1,001 or more employees)",Male,55 years or older,3.0,5.0,5.0,4.0
13270,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,3.0
13271,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,5.0,5.0
13272,"Medium (251 to 1,000 employees)",Male,55 years or older,3.0,5.0,3.0,4.0
13273,"Large (1,001 or more employees)",Female,55 years or older,4.0,5.0,4.0,4.0
13274,"Large (1,001 or more employees)",Female,55 years or older,3.0,2.0,4.0,4.0
13275,"Large (1,001 or more employees)",Male,55 years or older,2.0,4.0,1.0,3.0
13276,Small (Less than 250 employees),Female,55 years or older,3.0,5.0,5.0,5.0
13277,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13278,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13279,"Large (1,001 or more employees)",Female,55 years or older,2.0,4.0,4.0,4.0
13280,"Large (1,001 or more employees)",Female,55 years or older,3.0,3.0,4.0,4.0
13281,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,3.0,4.0
13282,"Large (1,001 or more employees)",Female,55 years or older,4.0,3.0,3.0,3.0
13283,"Large (1,001 or more employees)",Female,55 years or older,4.0,3.0,3.0,3.0
13284,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,1.0,4.0
13285,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,4.0
13286,"Large (1,001 or more employees)",Male,55 years or older,2.0,2.0,3.0,4.0
13287,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,3.0,4.0
13288,Small (Less than 250 employees),Male,55 years or older,2.0,2.0,2.0,2.0
13289,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
13290,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,5.0
13291,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,3.0,3.0
13292,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,5.0
13293,"Medium (251 to 1,000 employees)",Female,55 years or older,5.0,5.0,5.0,5.0
13294,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,4.0
13295,"Large (1,001 or more employees)",Male,55 years or older,4.0,5.0,2.0,4.0
13296,"Large (1,001 or more employees)",Male,55 years or older,3.0,3.0,4.0,4.0
13297,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13298,"Medium (251 to 1,000 employees)",Male,55 years or older,2.0,4.0,4.0,4.0
13299,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13300,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13301,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,3.0,3.0
13302,Small (Less than 250 employees),Female,55 years or older,4.0,4.0,4.0,4.0
13303,Small (Less than 250 employees),Female,55 years or older,5.0,5.0,5.0,5.0
13304,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,5.0,4.0
13305,"Large (1,001 or more employees)",Female,55 years or older,2.0,4.0,4.0,4.0
13306,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,4.0,5.0
13307,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13308,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,5.0,5.0
13309,"Large (1,001 or more employees)",Female,55 years or older,2.0,5.0,4.0,3.0
13310,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
13311,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,4.0
13312,"Large (1,001 or more employees)",Female,55 years or older,3.0,5.0,5.0,5.0
13313,"Large (1,001 or more employees)",Male,55 years or older,3.0,1.0,3.0,3.0
13314,"Large (1,001 or more employees)",Male,55 years or older,2.0,4.0,3.0,4.0
13315,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,5.0,5.0
13316,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,3.0,4.0
13317,"Large (1,001 or more employees)",Male,55 years or older,1.0,2.0,2.0,2.0
13318,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
13319,"Large (1,001 or more employees)",Male,55 years or older,3.0,5.0,2.0,2.0
13320,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,3.0
13321,"Medium (251 to 1,000 employees)",Male,55 years or older,4.0,1.0,3.0,1.0
13322,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
13323,"Large (1,001 or more employees)",Male,55 years or older,5.0,5.0,5.0,5.0
13324,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,3.0,3.0
13325,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,4.0
13326,"Large (1,001 or more employees)",Female,55 years or older,1.0,2.0,3.0,4.0
13327,"Large (1,001 or more employees)",Female,55 years or older,4.0,5.0,5.0,5.0
13328,"Large (1,001 or more employees)",Male,55 years or older,2.0,4.0,5.0,2.0
13329,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,3.0,3.0
13330,"Large (1,001 or more employees)",Female,55 years or older,2.0,4.0,5.0,4.0
13331,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,5.0,5.0
13332,"Large (1,001 or more employees)",Male,55 years or older,2.0,3.0,1.0,4.0
13333,"Large (1,001 or more employees)",Female,55 years or older,3.0,5.0,4.0,4.0
13334,"Large (1,001 or more employees)",Female,55 years or older,3.0,3.0,4.0,4.0
13335,"Large (1,001 or more employees)",Male,55 years or older,3.0,2.0,4.0,4.0
13336,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,3.0,5.0
13337,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,4.0,4.0
13338,"Large (1,001 or more employees)",Female,55 years or older,2.0,4.0,3.0,3.0
13339,"Large (1,001 or more employees)",Female,55 years or older,3.0,2.0,4.0,4.0
13340,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,5.0
13341,"Large (1,001 or more employees)",Male,55 years or older,3.0,4.0,5.0,5.0
13342,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,4.0
13343,"Medium (251 to 1,000 employees)",Female,55 years or older,3.0,2.0,4.0,3.0
13344,"Large (1,001 or more employees)",Female,55 years or older,2.0,4.0,4.0,4.0
13345,"Medium (251 to 1,000 employees)",Female,55 years or older,3.0,2.0,4.0,2.0
13346,"Large (1,001 or more employees)",Male,55 years or older,3.0,3.0,3.0,3.0
13347,Small (Less than 250 employees),Female,55 years or older,3.0,4.0,4.0,4.0
13348,"Large (1,001 or more employees)",Male,55 years or older,3.0,2.0,4.0,4.0
13349,"Large (1,001 or more employees)",Male,55 years or older,4.0,5.0,5.0,5.0
13350,"Large (1,001 or more employees)",Female,55 years or older,2.0,4.0,3.0,5.0
13351,"Large (1,001 or more employees)",Male,55 years or older,4.0,5.0,5.0,5.0
13352,"Large (1,001 or more employees)",Male,55 years or older,5.0,5.0,5.0,5.0
13353,"Large (1,001 or more employees)",Female,55 years or older,2.0,2.0,3.0,3.0
13354,Small (Less than 250 employees),Male,55 years or older,3.0,5.0,5.0,4.0
13355,"Large (1,001 or more employees)",Female,55 years or older,4.0,1.0,4.0,5.0
13356,"Large (1,001 or more employees)",Female,55 years or older,2.0,1.0,1.0,2.0
13357,"Large (1,001 or more employees)",Female,55 years or older,3.0,5.0,4.0,4.0
13358,"Medium (251 to 1,000 employees)",Female,55 years or older,2.0,5.0,4.0,5.0
13359,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,4.0,5.0
13360,"Large (1,001 or more employees)",Female,55 years or older,3.0,3.0,3.0,4.0
